Code département;Département;Code circonscription;Circonscription;Numéro de panneau;Libellé abrégé de liste;Libellé de la liste;Code nuance de liste;Nuance de liste;Tête de liste;Ordre;Sexe;Nom sur le bulletin de vote;Prénom sur le bulletin de vote;Nationalité;Code personnalité;CC
31;Haute-Garonne;31001;Agassac;1;ANE SERGE;ANE SERGE;;;OUI;1;M;ANE;Serge;Française;;
31;Haute-Garonne;31002;Aignes;1;Aignes pour tous;Aignes pour tous;;;OUI;1;F;ROUSSEL;Christelle;Française;;
31;Haute-Garonne;31003;Aigrefeuille;1;POUR QUE REVIVE AIGREFEUILLE;POUR QUE REVIVE AIGREFEUILLE;;;OUI;1;F;OUCHENNE;Myriam;Française;;OUI
31;Haute-Garonne;31003;Aigrefeuille;2;CONTINUONS ENSEMBLE, POUR L'AVENIR D'AIGREFEUILLE;CONTINUONS ENSEMBLE, POUR L'AVENIR D'AIGREFEUILLE;;;OUI;1;M;ANDRÉ;Christian;Française;;OUI
31;Haute-Garonne;31004;Ayguesvives;1;Aygues'Avenir, ensemble pour notre village;Aygues'Avenir, ensemble pour notre village;;;OUI;1;M;PETITDIDIER;Victor;Française;;OUI
31;Haute-Garonne;31005;Alan;1;ALAN CONTINUONS DE L'AVANT;ALAN CONTINUONS DE L'AVANT;;;OUI;1;M;BEAUSOR;Francis;Française;;
31;Haute-Garonne;31005;Alan;2;ALAN : UNE EQUIPE POUR VOUS;ALAN : UNE EQUIPE POUR VOUS;;;OUI;1;M;GLAIS;Jonathan;Française;;
31;Haute-Garonne;31006;Albiac;1;Tous pour Albiac;Tous pour Albiac;;;OUI;1;M;ROUGÉ;Cédric;Française;;
31;Haute-Garonne;31007;Ambax;1;TOUS POUR AMBAX;TOUS POUR AMBAX;;;OUI;1;M;MIQUEL;Daniel;Française;;
31;Haute-Garonne;31008;Anan;1;ENSEMBLE DANS LA CONTINUITE;ENSEMBLE DANS LA CONTINUITE;;;OUI;1;M;BRIOL;Laurent;Française;;
31;Haute-Garonne;31009;Antichan-de-Frontignes;1;ANTICHAN POUR TOUS;ANTICHAN POUR TOUS;;;OUI;1;M;DUMAIL;Bernard;Française;;
31;Haute-Garonne;31010;Antignac;1;ENSEMBLE POUR NOTRE VILLAGE;ENSEMBLE POUR NOTRE VILLAGE;;;OUI;1;M;NOUALS;Emilien;Française;;
31;Haute-Garonne;31011;Arbas;1;VIVRE A ARBAS;VIVRE A ARBAS;;;OUI;1;M;CAZES;Jean;Française;;
31;Haute-Garonne;31012;Arbon;1;POUR ARBON;POUR ARBON;;;OUI;1;M;RIFFET;Nicolas;Française;;
31;Haute-Garonne;31013;Ardiège;1;A L'ECOUTE D'ARDIEGE;A L'ECOUTE D'ARDIEGE;;;OUI;1;M;LUCAS;Pascal;Française;;
31;Haute-Garonne;31013;Ardiège;2;BATIR POUR DEMAIN ARDIEGE;BATIR POUR DEMAIN ARDIEGE;;;OUI;1;M;DUMANOIR;Serge;Française;;
31;Haute-Garonne;31014;Arguenos;1;CONTINUONS ENSEMBLE POUR ARGUENOS;CONTINUONS ENSEMBLE POUR ARGUENOS;;;OUI;1;M;LABARRE;Cédric;Française;;
31;Haute-Garonne;31015;Argut-Dessous;1;ARGUT-DESSOUS - REUSSIR ENSEMBLE;ARGUT-DESSOUS - REUSSIR ENSEMBLE;;;OUI;1;M;DULON;Gilles;Française;;
31;Haute-Garonne;31017;Arlos;1;DU RENOUVEAU POUR ARLOS;DU RENOUVEAU POUR ARLOS;;;OUI;1;M;RIBIS;Jean-Marc;Française;;
31;Haute-Garonne;31018;Arnaud-Guilhem;1;CONTINUER ENSEMBLE POUR L'AVENIR D'ARNAUD-GUILHEM;CONTINUER ENSEMBLE POUR L'AVENIR D'ARNAUD-GUILHEM;;;OUI;1;M;VIALATTE;Jean-Pierre;Française;;
31;Haute-Garonne;31019;Artigue;1;UNIS POUR ARTIGUE SON PATRIMOINE ET SES TRADITIONS;UNIS POUR ARTIGUE SON PATRIMOINE ET SES TRADITIONS;;;OUI;1;M;SALABELLE;Hugues;Française;;
31;Haute-Garonne;31020;Aspet;1;Aspet, Liens et Solidarité;Aspet, Liens et Solidarité;;;OUI;1;F;DELMAS;Myriam;Française;;
