code_commune_INSEE,nom_commune_postal,code_postal,libelle_acheminement,ligne_5,latitude,longitude,code_commune,article,nom_commune,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
31001,AGASSAC,31230,AGASSAC,,43.3720949705,0.885301441873,1,,Agassac,Agassac,31,Haute-Garonne,76,Occitanie
31002,AIGNES,31550,AIGNES,,43.3349232679,1.58645774821,2,,Aignes,Aignes,31,Haute-Garonne,76,Occitanie
31003,AIGREFEUILLE,31280,AIGREFEUILLE,,43.5693635882,1.58421445375,3,,Aigrefeuille,Aigrefeuille,31,Haute-Garonne,76,Occitanie
31004,AYGUESVIVES,31450,AYGUESVIVES,,43.4290243945,1.59439448927,4,,Ayguesvives,Ayguesvives,31,Haute-Garonne,76,Occitanie
31005,ALAN,31420,ALAN,,43.2200878042,0.927625726585,5,,Alan,Alan,31,Haute-Garonne,76,Occitanie
31006,ALBIAC,31460,ALBIAC,,43.5558012046,1.78268278702,6,,Albiac,Albiac,31,Haute-Garonne,76,Occitanie
31007,AMBAX,31230,AMBAX,,43.3680277125,0.937034657846,7,,Ambax,Ambax,31,Haute-Garonne,76,Occitanie
31008,ANAN,31230,ANAN,,43.3522518749,0.810075633308,8,,Anan,Anan,31,Haute-Garonne,76,Occitanie
31009,ANTICHAN DE FRONTIGNES,31510,ANTICHAN DE FRONTIGNES,,42.9696953465,0.676907980365,9,,Antichan-de-Frontignes,Antichan-de-Frontignes,31,Haute-Garonne,76,Occitanie
31010,ANTIGNAC,31110,ANTIGNAC,,42.8311657614,0.587701526157,10,,Antignac,Antignac,31,Haute-Garonne,76,Occitanie
31011,ARBAS,31160,ARBAS,,42.9925595052,0.905628547412,11,,Arbas,Arbas,31,Haute-Garonne,76,Occitanie
31012,ARBON,31160,ARBON,,43.000904094,0.731075064686,12,,Arbon,Arbon,31,Haute-Garonne,76,Occitanie
31013,ARDIEGE,31210,ARDIEGE,,43.0667699712,0.64401533309,13,,Ardiège,Ardiège,31,Haute-Garonne,76,Occitanie
31014,ARGUENOS,31160,ARGUENOS,,42.9592233941,0.72693971703,14,,Arguenos,Arguenos,31,Haute-Garonne,76,Occitanie
31015,ARGUT DESSOUS,31440,ARGUT DESSOUS,,42.8924379244,0.715516624447,15,,Argut-Dessous,Argut-Dessous,31,Haute-Garonne,76,Occitanie
31017,ARLOS,31440,ARLOS,,42.874241036,0.695211627437,17,,Arlos,Arlos,31,Haute-Garonne,76,Occitanie
31018,ARNAUD GUILHEM,31360,ARNAUD GUILHEM,,43.1465237831,0.899110471667,18,,Arnaud-Guilhem,Arnaud-Guilhem,31,Haute-Garonne,76,Occitanie
31019,ARTIGUE,31110,ARTIGUE,,42.8264001411,0.63971982942,19,,Artigue,Artigue,31,Haute-Garonne,76,Occitanie
31020,ASPET,31160,ASPET,,43.0114092218,0.805918611708,20,,Aspet,Aspet,31,Haute-Garonne,76,Occitanie
31021,ASPRET SARRAT,31800,ASPRET SARRAT,,43.0698319191,0.720036788419,21,,Aspret-Sarrat,Aspret-Sarrat,31,Haute-Garonne,76,Occitanie
31022,AUCAMVILLE,31140,AUCAMVILLE,,43.6713968117,1.42370910767,22,,Aucamville,Aucamville,31,Haute-Garonne,76,Occitanie
31023,AULON,31420,AULON,,43.190035341,0.813417936999,23,,Aulon,Aulon,31,Haute-Garonne,76,Occitanie
31024,AURAGNE,31190,AURAGNE,,43.3912857783,1.50909342818,24,,Auragne,Auragne,31,Haute-Garonne,76,Occitanie
31025,AUREVILLE,31320,AUREVILLE,,43.4804161473,1.45712269625,25,,Aureville,Aureville,31,Haute-Garonne,76,Occitanie
31026,AURIAC SUR VENDINELLE,31460,AURIAC SUR VENDINELLE,,43.519408834,1.82440314638,26,,Auriac-sur-Vendinelle,Auriac-sur-Vendinelle,31,Haute-Garonne,76,Occitanie
31027,AURIBAIL,31190,AURIBAIL,,43.3464885877,1.37524698634,27,,Auribail,Auribail,31,Haute-Garonne,76,Occitanie
31028,AURIGNAC,31420,AURIGNAC,,43.2137172821,0.871496161348,28,,Aurignac,Aurignac,31,Haute-Garonne,76,Occitanie
31029,AURIN,31570,AURIN,,43.5351953574,1.68120009719,29,,Aurin,Aurin,31,Haute-Garonne,76,Occitanie
31030,AUSSEING,31260,AUSSEING,,43.1540611652,1.03126801796,30,,Ausseing,Ausseing,31,Haute-Garonne,76,Occitanie
31031,AUSSON,31210,AUSSON,,43.0915876705,0.589975626665,31,,Ausson,Ausson,31,Haute-Garonne,76,Occitanie
31032,AUSSONNE,31840,AUSSONNE,,43.6836034494,1.32887054853,32,,Aussonne,Aussonne,31,Haute-Garonne,76,Occitanie
31033,AUTERIVE,31190,AUTERIVE,,43.3595991576,1.47742796554,33,,Auterive,Auterive,31,Haute-Garonne,76,Occitanie
31034,AUZAS,31360,AUZAS,,43.1744807427,0.894158891084,34,,Auzas,Auzas,31,Haute-Garonne,76,Occitanie
31035,AUZEVILLE TOLOSANE,31320,AUZEVILLE TOLOSANE,,43.5286122552,1.48721978973,35,,Auzeville-Tolosane,Auzeville-Tolosane,31,Haute-Garonne,76,Occitanie
31036,AUZIELLE,31650,AUZIELLE,,43.540140769,1.56831984014,36,,Auzielle,Auzielle,31,Haute-Garonne,76,Occitanie
31037,AVIGNONET LAURAGAIS,31290,AVIGNONET LAURAGAIS,,43.3769712959,1.77272704833,37,,Avignonet-Lauragais,Avignonet-Lauragais,31,Haute-Garonne,76,Occitanie
31038,AZAS,31380,AZAS,,43.7200477116,1.67437358788,38,,Azas,Azas,31,Haute-Garonne,76,Occitanie
31039,BACHAS,31420,BACHAS,,43.2487475475,0.941734227527,39,,Bachas,Bachas,31,Haute-Garonne,76,Occitanie
31040,BACHOS,31440,BACHOS,,42.8985486101,0.604716422837,40,,Bachos,Bachos,31,Haute-Garonne,76,Occitanie
31041,BAGIRY,31510,BAGIRY,,42.9798586112,0.624492350952,41,,Bagiry,Bagiry,31,Haute-Garonne,76,Occitanie
31042,BAGNERES DE LUCHON,31110,BAGNERES DE LUCHON,,42.736147731,0.626640395614,42,,Bagnères-de-Luchon,Bagnères-de-Luchon,31,Haute-Garonne,76,Occitanie
31043,BALESTA,31580,BALESTA,,43.2022153285,0.563416823751,43,,Balesta,Balesta,31,Haute-Garonne,76,Occitanie
31044,BALMA,31130,BALMA,,43.6115258731,1.50459138348,44,,Balma,Balma,31,Haute-Garonne,76,Occitanie
31045,BARBAZAN,31510,BARBAZAN,,43.0349167562,0.621843270665,45,,Barbazan,Barbazan,31,Haute-Garonne,76,Occitanie
31046,BAREN,31440,BAREN,,42.8676983193,0.634971126368,46,,Baren,Baren,31,Haute-Garonne,76,Occitanie
31047,BAX,31310,BAX,,43.2246503124,1.28820389123,47,,Bax,Bax,31,Haute-Garonne,76,Occitanie
31048,BAZIEGE,31450,BAZIEGE,,43.4622367436,1.62799581298,48,,Baziège,Baziège,31,Haute-Garonne,76,Occitanie
31049,BAZUS,31380,BAZUS,,43.7357441741,1.51960464279,49,,Bazus,Bazus,31,Haute-Garonne,76,Occitanie
31050,BEAUCHALOT,31360,BEAUCHALOT,,43.1144562142,0.869747129853,50,,Beauchalot,Beauchalot,31,Haute-Garonne,76,Occitanie
31051,BEAUFORT,31370,BEAUFORT,,43.4548618098,1.10650961074,51,,Beaufort,Beaufort,31,Haute-Garonne,76,Occitanie
31052,BEAUMONT SUR LEZE,31870,BEAUMONT SUR LEZE,,43.3798440302,1.35610208847,52,,Beaumont-sur-Lèze,Beaumont-sur-Lèze,31,Haute-Garonne,76,Occitanie
31053,BEAUPUY,31850,BEAUPUY,,43.6525825042,1.55869879525,53,,Beaupuy,Beaupuy,31,Haute-Garonne,76,Occitanie
31054,BEAUTEVILLE,31290,BEAUTEVILLE,,43.349128147,1.73283349188,54,,Beauteville,Beauteville,31,Haute-Garonne,76,Occitanie
31055,BEAUVILLE,31460,BEAUVILLE,,43.4675844934,1.7707274596,55,,Beauville,Beauville,31,Haute-Garonne,76,Occitanie
31056,BEAUZELLE,31700,BEAUZELLE,,43.667783714,1.37408906279,56,,Beauzelle,Beauzelle,31,Haute-Garonne,76,Occitanie
31057,BELBERAUD,31450,BELBERAUD,,43.5037794316,1.56972339327,57,,Belberaud,Belberaud,31,Haute-Garonne,76,Occitanie
31058,BELBEZE DE LAURAGAIS,31450,BELBEZE DE LAURAGAIS,,43.437002886,1.55679830955,58,,Belbèze-de-Lauragais,Belbèze-de-Lauragais,31,Haute-Garonne,76,Occitanie
31059,BELBEZE EN COMMINGES,31260,BELBEZE EN COMMINGES,,43.133868235,1.02965888187,59,,Belbèze-en-Comminges,Belbèze-en-Comminges,31,Haute-Garonne,76,Occitanie
31060,BELESTA EN LAURAGAIS,31540,BELESTA EN LAURAGAIS,,43.4395844562,1.83164556128,60,,Bélesta-en-Lauragais,Bélesta-en-Lauragais,31,Haute-Garonne,76,Occitanie
31061,BELLEGARDE STE MARIE,31530,BELLEGARDE STE MARIE,,43.6757290894,1.09962618337,61,,Bellegarde-Sainte-Marie,Bellegarde-Sainte-Marie,31,Haute-Garonne,76,Occitanie
31062,BELLESSERRE,31480,BELLESSERRE,,43.7873665231,1.10128941207,62,,Bellesserre,Bellesserre,31,Haute-Garonne,76,Occitanie
31063,BENQUE,31420,BENQUE,,43.2590244874,0.917904928606,63,,Benque,Benque,31,Haute-Garonne,76,Occitanie
31064,BENQUE DESSOUS ET DESSUS,31110,BENQUE DESSOUS ET DESSUS,,42.8204320616,0.541783667805,64,,Benque-Dessous-et-Dessus,Benque-Dessous-et-Dessus,31,Haute-Garonne,76,Occitanie
31065,BERAT,31370,BERAT,,43.377910708,1.17131231039,65,,Bérat,Bérat,31,Haute-Garonne,76,Occitanie
31066,BESSIERES,31660,BESSIERES,,43.796995756,1.58618244226,66,,Bessières,Bessières,31,Haute-Garonne,76,Occitanie
31067,BEZINS GARRAUX,31440,BEZINS GARRAUX,,42.9389029798,0.702058330112,67,,Bezins-Garraux,Bezins-Garraux,31,Haute-Garonne,76,Occitanie
31068,BILLIERE,31110,BILLIERE,,42.8163998268,0.528501869101,68,,Billière,Billière,31,Haute-Garonne,76,Occitanie
31069,BLAGNAC,31700,BLAGNAC,,43.6421867862,1.37886941086,69,,Blagnac,Blagnac,31,Haute-Garonne,76,Occitanie
31070,BLAJAN,31350,BLAJAN,,43.2538737528,0.647870154984,70,,Blajan,Blajan,31,Haute-Garonne,76,Occitanie
31071,BOIS DE LA PIERRE,31390,BOIS DE LA PIERRE,,43.3411967523,1.1619650342,71,,Bois-de-la-Pierre,Bois-de-la-Pierre,31,Haute-Garonne,76,Occitanie
31072,BOISSEDE,31230,BOISSEDE,,43.4071039513,0.826216857936,72,,Boissède,Boissède,31,Haute-Garonne,76,Occitanie
31073,BONDIGOUX,31340,BONDIGOUX,,43.8426819067,1.5434822211,73,,Bondigoux,Bondigoux,31,Haute-Garonne,76,Occitanie
31074,BONREPOS RIQUET,31590,BONREPOS RIQUET,,43.6764879436,1.62258710313,74,,Bonrepos-Riquet,Bonrepos-Riquet,31,Haute-Garonne,76,Occitanie
31075,BONREPOS SUR AUSSONNELLE,31470,BONREPOS SUR AUSSONNELLE,,43.5441107951,1.13701796182,75,,Bonrepos-sur-Aussonnelle,Bonrepos-sur-Aussonnelle,31,Haute-Garonne,76,Occitanie
31076,BORDES DE RIVIERE,31210,BORDES DE RIVIERE,,43.1236831368,0.634949755967,76,,Bordes-de-Rivière,Bordes-de-Rivière,31,Haute-Garonne,76,Occitanie
31077,LE BORN,31340,LE BORN,,43.8958696677,1.53902789526,77,Le,Born,Le Born,31,Haute-Garonne,76,Occitanie
31078,BOUDRAC,31580,BOUDRAC,,43.1873792108,0.517345335704,78,,Boudrac,Boudrac,31,Haute-Garonne,76,Occitanie
31079,BOULOC,31620,BOULOC,,43.7958003847,1.4191891401,79,,Bouloc,Bouloc,31,Haute-Garonne,76,Occitanie
31080,BOULOGNE SUR GESSE,31350,BOULOGNE SUR GESSE,,43.2904403081,0.650641474176,80,,Boulogne-sur-Gesse,Boulogne-sur-Gesse,31,Haute-Garonne,76,Occitanie
31081,BOURG D OUEIL,31110,BOURG D OUEIL,,42.8605605642,0.486883887759,81,,Bourg-d'Oueil,Bourg-d'Oueil,31,Haute-Garonne,76,Occitanie
31082,BOURG ST BERNARD,31570,BOURG ST BERNARD,,43.6062435509,1.69878224324,82,,Bourg-Saint-Bernard,Bourg-Saint-Bernard,31,Haute-Garonne,76,Occitanie
31083,BOUSSAN,31420,BOUSSAN,,43.2416263928,0.875149673224,83,,Boussan,Boussan,31,Haute-Garonne,76,Occitanie
31084,BOUSSENS,31360,BOUSSENS,,43.1763531912,0.960371645513,84,,Boussens,Boussens,31,Haute-Garonne,76,Occitanie
31085,BOUTX,31160,BOUTX,,42.9153786194,0.770355750474,85,,Boutx,Boutx,31,Haute-Garonne,76,Occitanie
31086,BOUZIN,31420,BOUZIN,,43.1908302921,0.883064615225,86,,Bouzin,Bouzin,31,Haute-Garonne,76,Occitanie
31087,BRAGAYRAC,31470,BRAGAYRAC,,43.4884997538,1.07003816483,87,,Bragayrac,Bragayrac,31,Haute-Garonne,76,Occitanie
31088,BRAX,31490,BRAX,,43.6156942044,1.23194886903,88,,Brax,Brax,31,Haute-Garonne,76,Occitanie
31089,BRETX,31530,BRETX,,43.7059673494,1.19620532147,89,,Bretx,Bretx,31,Haute-Garonne,76,Occitanie
31090,BRIGNEMONT,31480,BRIGNEMONT,,43.7692039824,0.998300952278,90,,Brignemont,Brignemont,31,Haute-Garonne,76,Occitanie
31091,BRUGUIERES,31150,BRUGUIERES,,43.7271508931,1.40915818124,91,,Bruguières,Bruguières,31,Haute-Garonne,76,Occitanie
31092,BURGALAYS,31440,BURGALAYS,,42.8843664785,0.636511847302,92,,Burgalays,Burgalays,31,Haute-Garonne,76,Occitanie
31093,LE BURGAUD,31330,LE BURGAUD,,43.7897007314,1.14613239704,93,Le,Burgaud,Le Burgaud,31,Haute-Garonne,76,Occitanie
31094,BUZET SUR TARN,31660,BUZET SUR TARN,,43.7685831064,1.61379658307,94,,Buzet-sur-Tarn,Buzet-sur-Tarn,31,Haute-Garonne,76,Occitanie
31095,CABANAC CAZAUX,31160,CABANAC CAZAUX,,43.0344383786,0.73986085522,95,,Cabanac-Cazaux,Cabanac-Cazaux,31,Haute-Garonne,76,Occitanie
31096,CABANAC SEGUENVILLE,31480,CABANAC SEGUENVILLE,,43.791486988,1.01984051649,96,,Cabanac-Séguenville,Cabanac-Séguenville,31,Haute-Garonne,76,Occitanie
31097,LE CABANIAL,31460,LE CABANIAL,,43.5220437405,1.86897842751,97,Le,Cabanial,Le Cabanial,31,Haute-Garonne,76,Occitanie
31098,CADOURS,31480,CADOURS,,43.7262666734,1.04672330873,98,,Cadours,Cadours,31,Haute-Garonne,76,Occitanie
