CODGEO;Nb Pharmacies et parfumerie;Dynamique Entrepreneuriale;Dynamique Entrepreneuriale Service et Commerce;Synergie Médicale COMMUNE;Orientation Economique;Indice Fiscal Partiel;Score Fiscal;Indice Evasion Client;Score Evasion Client;Indice Synergie Médicale;Score Synergie Médicale;SEG Croissance POP;LIBGEO;REG;DEP;Nb Omnipraticiens BV;Nb Infirmiers Libéraux BV;Nb dentistes Libéraux BV;Nb pharmaciens Libéraux BV;Densité Médicale BV;Score équipement de santé BV;Indice Démographique;Score Démographique;Indice Ménages;Score Ménages;Population;Evolution Population;Evolution Pop %;Nb Ménages;Nb Résidences Principales;Nb propriétaire;Nb Logement;Nb Résidences Secondaires;Nb Log Vacants;Nb Occupants Résidence Principale;Nb Femme;Nb Homme;Nb Mineurs;Nb Majeurs;Nb Etudiants;Nb Entreprises Secteur Services;Nb Entreprises Secteur Commerce;Nb Entreprises Secteur Construction;Nb Entreprises Secteur Industrie;Nb Création Enteprises;Nb Création Industrielles;Nb Création Construction;Nb Création Commerces;Nb Création Services;Moyenne Revenus Fiscaux Départementaux;Moyenne Revenus Fiscaux Régionaux;Dep Moyenne Salaires Horaires;Dep Moyenne Salaires Cadre Horaires;Dep Moyenne Salaires Prof Intermédiaire Horaires;Dep Moyenne Salaires Employé Horaires;Dep Moyenne Salaires Ouvrié Horaires;Reg Moyenne Salaires Horaires;Reg Moyenne Salaires Cadre Horaires;Reg Moyenne Salaires Prof Intermédiaire Horaires;Reg Moyenne Salaires Employé Horaires;Reg Moyenne Salaires Ouvrié Horaires;Valeur ajoutée régionale;Urbanité Ruralité;Score Urbanité;Nb Atifs;Nb Actifs Salariés;Nb Actifs Non Salariés;Nb Logement Secondaire et Occasionnel;Nb Hotel;Capacité Hotel;Nb Camping;Capacité Camping;Dynamique Démographique BV;Taux étudiants;Taux Propriété;Dynamique Démographique INSEE;Capacité Fisc;Capacité Fiscale;Moyenne Revnus fiscaux;Taux Evasion Client;Nb Education, santé, action sociale;Nb Services personnels et domestiques;Nb Santé, action sociale;Nb Industries des biens intermédiaires;Nb de Commerce;Nb de Services aux particuliers;Nb institution de Education, santé, action sociale, administration;PIB Régionnal;SEG Environnement Démographique Obsolète;Score Croissance Population;Score Croissance Entrepreneuriale;Score VA Région;Score PIB;Environnement Démographique;Fidélité;SYN MEDICAL;Seg Cap Fiscale;Seg Dyn Entre;DYN SetC;CP
31001;0;22;6;44;Bassin diversifié;109,67825;76,33987;0;0;44,21889;0,04138;en croissance démographique;Agassac;73;31;6;5;2;2;0,123700972;2;7,37644;0,00569;7,23309;0,00432;121;-6;-4;48;48;36;65;8;9;121;120;114;137;97;8;2;3;2;0;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;48;25;23;8;0;0;0;0;5.Déclin par déficit naturel;0;55;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;69,67213;0;11,82517;13,13235;Bassin diversifié en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31002;0;20;1;71;Bassin Résidentiel;109,67825;76,33987;0;0;71,35322;0,07741;en croissance démographique;Aignes;73;31;18;25;10;10;0,124371438;3;11,76573;0,00908;11,60309;0,00693;193;-7;-3;77;77;63;99;15;7;193;178;190;210;158;13;1;0;2;0;2;0;1;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;72;49;23;15;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;63;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;70,08197;0,00346;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31003;0;42;21;75;Bassin Urbain;109,67825;76,33987;0;0;75,37312;0,08275;en croissance démographique;Aigrefeuille;73;31;12;12;6;6;1;1;35,17526;0,02714;25,91858;0,01548;577;46;8;172;172;150;179;6;1;577;558;552;749;361;36;14;3;8;2;1;0;0;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;264;224;40;6;0;0;0;0;Grande Ville;0;83;-5;96;96;12307,5;0;5;1;5;1935;3711;1222;7638;71295;Com rurale < 2 000 m habts en croissance démographique;74,59016;0,00173;11,82517;13,13235;Bassin Urbain en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31004;0;86;68;86;Bassin Urbain;109,67825;76,33987;0;0;86,42784;0,09743;en croissance démographique;Ayguesvives;73;31;12;12;6;6;1;1;110,5247;0,08528;95,68779;0,05716;1813;71;3;635;633;465;657;11;13;1790;1762;1758;2246;1274;131;37;17;16;9;11;2;4;0;5;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;794;713;81;11;0;0;0;0;Grande Ville;0;70;-6;113;113;12307,5;0;15;4;14;1935;3711;1222;7638;71295;Com rurale < 2 000 m habts en croissance démographique;72,54098;0,01902;11,82517;13,13235;Bassin Urbain en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31005;0;33;8;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Alan;73;31;56;80;30;30;0,15487764;4;18,34966;0,01416;17,47997;0,01044;301;-16;-5;116;116;100;163;39;8;299;300;290;343;247;27;5;2;2;7;2;1;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;113;82;31;39;0;0;0;0;5.Déclin par déficit naturel;0;61;1;92;92;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;69,2623;0,00346;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31006;0;25;6;58;Bassin Résidentiel;109,67825;76,33987;0;0;58,28854;0,06006;en croissance démographique;Albiac;73;31;8;19;4;4;0,143814951;4;9,51012;0,00734;7,98654;0,00477;156;-2;-1;53;53;45;60;4;3;156;140;164;187;117;9;4;1;3;1;1;0;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;60;48;12;4;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;75;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;70,90164;0,00173;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31007;0;21;6;44;Bassin diversifié;109,67825;76,33987;0;0;44,21889;0,04138;en croissance démographique;Ambax;73;31;6;5;2;2;0,123700972;2;4,38929;0,00339;3,46586;0,00207;72;3;4;23;23;17;37;11;3;72;76;66;92;50;5;3;2;0;2;2;0;0;0;2;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;31;22;9;11;0;0;0;0;5.Déclin par déficit naturel;0;45;0;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;72,95082;0,00346;11,82517;13,13235;Bassin diversifié en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31008;0;24;7;45;Bassin diversifié;109,67825;76,33987;0;0;45,22387;0,04271;en croissance démographique;Anan;73;31;6;5;2;2;0,123700972;2;14,02134;0,01082;14,76756;0,00882;230;-7;-3;98;98;76;120;17;5;230;204;250;263;191;7;3;3;1;2;1;0;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;85;59;26;17;0;0;0;0;5.Déclin par déficit naturel;0;63;0;91;91;12307,5;0;1;0;1;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;70,08197;0,00173;11,82517;13,13235;Bassin diversifié en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31009;0;19;2;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Antichan-de-Frontignes;73;31;56;80;30;30;0,15487764;4;5,12084;0,00395;6,17827;0,00369;84;-5;-6;41;41;32;77;34;2;84;70;96;95;71;3;1;1;1;0;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;19;12;7;34;1;6;0;0;5.Déclin par déficit naturel;0;41;0;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;68,85246;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31010;0;23;6;58;Bassin Résidentiel;109,67825;76,33987;0;0;58,28854;0,06006;en croissance démographique;Antignac;73;31;17;11;3;3;0,19644653;4;6,34008;0,00489;6,02758;0,0036;104;0;0;40;39;26;74;35;0;100;106;98;125;79;6;3;2;2;1;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;50;37;13;35;0;0;0;0;5.Déclin par déficit naturel;0;35;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;71,31148;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
